metric,question_type,reference,external,n_ref,n_ext,ref_mean,ext_mean,mean_diff,mannwhitney_p,wilcoxon_p,bootstrap_diff,bootstrap_ci_lo,bootstrap_ci_hi,cohens_d
score,ALL,D,E,200,200,3.675,2.805,0.8699999999999997,0.033008333341420656,0.00037313326003432295,0.8699999999999997,0.4098749999999997,1.3351249999999992,0.3711159247254486
score,spatial_awareness,D,E,70,70,1.3714285714285714,2.4857142857142858,-1.1142857142857143,2.8583293720855296e-08,1.1751631622138033e-05,-1.1142857142857143,-1.6428571428571428,-0.6000000000000001,-0.7251728294759201
score,multi_hop_topological,D,E,70,70,5.871428571428571,2.7142857142857144,3.1571428571428566,1.1057293421857164e-11,2.9829259029063935e-09,3.1571428571428566,2.356785714285714,3.9146428571428555,1.3487639590728195
score,analytical_aggregation,D,E,60,60,3.8,3.283333333333333,0.5166666666666666,0.33118542259443595,0.1297648434015572,0.5166666666666666,-0.1166666666666667,1.1333333333333337,0.29029628679509406
hallucination,ALL,D,E,200,200,0.795,0.93,-0.135,9.058297397021707e-05,8.20422281164159e-05,-0.135,,,
score,ALL,D,F,200,200,3.675,2.595,1.0799999999999996,1.9822556218175167e-06,1.235089802082212e-06,1.0799999999999996,0.5398749999999997,1.5852499999999985,0.40529741527270824
score,spatial_awareness,D,F,70,70,1.3714285714285714,1.4857142857142858,-0.11428571428571432,0.7299365603294573,0.5407836877338774,-0.11428571428571432,-0.6146428571428572,0.37142857142857144,-0.07392432255222546
score,multi_hop_topological,D,F,70,70,5.871428571428571,3.914285714285714,1.9571428571428569,3.694171186153104e-05,2.8301923187066922e-05,1.9571428571428569,1.0142857142857142,2.8717857142857124,0.7243967517054811
score,analytical_aggregation,D,F,60,60,3.8,2.35,1.4499999999999997,4.461105064733866e-07,0.0006801875725377621,1.4499999999999997,0.6833333333333331,2.250416666666665,0.6613353746349119
hallucination,ALL,D,F,200,200,0.795,0.835,-0.039999999999999925,0.3038528005968173,0.22779999398822903,-0.039999999999999925,,,
score,ALL,D,H,200,200,3.675,2.66,1.0149999999999997,0.0002582620178620283,6.469231489588975e-06,1.0149999999999997,0.5350000000000001,1.5001249999999997,0.4085325397887839
score,spatial_awareness,D,H,70,70,1.3714285714285714,1.5,-0.12857142857142856,0.22122663742130044,0.39138893836041155,-0.12857142857142856,-0.5428571428571429,0.30000000000000004,-0.09672282965110691
score,multi_hop_topological,D,H,70,70,5.871428571428571,2.742857142857143,3.128571428571428,1.1752313334457009e-11,1.3405713227877177e-09,3.128571428571428,2.371428571428571,3.9142857142857146,1.3099029936307207
score,analytical_aggregation,D,H,60,60,3.8,3.9166666666666665,-0.1166666666666667,0.9250897103344847,0.7483199604250783,-0.1166666666666667,-0.8999999999999999,0.6166666666666663,-0.05524834199533271
hallucination,ALL,D,H,200,200,0.795,0.86,-0.06499999999999995,0.08586804254591905,0.07961580146011343,-0.06499999999999995,,,
score,ALL,D,I,200,200,3.675,2.81,0.8649999999999998,0.007426999539714707,0.0014087936758070442,0.8649999999999998,0.3700000000000001,1.335,0.3545738792436064
score,spatial_awareness,D,I,70,70,1.3714285714285714,2.442857142857143,-1.0714285714285716,7.583080732968899e-07,0.00010372786115352253,-1.0714285714285716,-1.6003571428571428,-0.48571428571428577,-0.6360239996109001
score,multi_hop_topological,D,I,70,70,5.871428571428571,2.657142857142857,3.214285714285714,7.66783948304666e-12,7.916405577870166e-09,3.214285714285714,2.385714285714286,4.0,1.3558171450936132
score,analytical_aggregation,D,I,60,60,3.8,3.4166666666666665,0.3833333333333333,0.2683858774688954,0.32320835944017323,0.3833333333333333,-0.30000000000000027,1.1,0.1945350879096593
hallucination,ALL,D,I,200,200,0.795,0.925,-0.13,0.000183193249483703,0.00017488659254209318,-0.13,,,
score,ALL,D,J,200,200,3.675,2.92,0.7549999999999999,0.023592109454674687,0.0012850740394330586,0.7549999999999999,0.2650000000000001,1.2502499999999985,0.29871009045286473
score,spatial_awareness,D,J,70,70,1.3714285714285714,3.1857142857142855,-1.814285714285714,1.707627331816136e-10,8.239575739883237e-08,-1.814285714285714,-2.4714285714285715,-1.1571428571428573,-0.9197863641424583
score,multi_hop_topological,D,J,70,70,5.871428571428571,3.2,2.671428571428571,8.225440882346047e-09,1.9263670829792383e-08,2.671428571428571,1.8285714285714287,3.4857142857142858,1.0732210148757884
score,analytical_aggregation,D,J,60,60,3.8,2.283333333333333,1.5166666666666666,4.1940643780790634e-07,1.3157920157631034e-05,1.5166666666666666,0.8666666666666667,2.1999999999999997,0.8178695567437023
hallucination,ALL,D,J,200,200,0.795,0.83,-0.03499999999999992,0.37081042144433896,0.35383690068472906,-0.03499999999999992,,,
